Date,Year,Quarter,Quarter (Q),Quarter & Year,Month,Month Name,Month & Year,Week of Year,Week of Year (W),Day of Week,Day Name
2016-02-05,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,5,Friday
2016-02-06,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,6,Saturday
2016-02-07,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,6,Week 6,7,Sunday
2016-02-08,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,1,Monday
2016-02-09,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,2,Tuesday
2016-02-10,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,3,Wednesday
2016-02-11,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,4,Thursday
2016-02-12,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,5,Friday
2016-02-13,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,6,Saturday
2016-02-14,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,7,Week 7,7,Sunday
2016-02-15,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,1,Monday
2016-02-16,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,2,Tuesday
2016-02-17,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,3,Wednesday
2016-02-18,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,4,Thursday
2016-02-19,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,5,Friday
2016-02-20,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,6,Saturday
2016-02-21,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,8,Week 8,7,Sunday
2016-02-22,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,1,Monday
2016-02-23,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,2,Tuesday
2016-02-24,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,3,Wednesday
2016-02-25,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,4,Thursday
2016-02-26,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,5,Friday
2016-02-27,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,6,Saturday
2016-02-28,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,9,Week 9,7,Sunday
2016-02-29,2016,1,Q1,2016 - Q1,2,Feb,Feb 2016,10,Week 10,1,Monday
2016-03-01,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,2,Tuesday
2016-03-02,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,3,Wednesday
2016-03-03,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,4,Thursday
2016-03-04,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,5,Friday
2016-03-05,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,6,Saturday
2016-03-06,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,10,Week 10,7,Sunday
2016-03-07,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,1,Monday
2016-03-08,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,2,Tuesday
2016-03-09,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,3,Wednesday
2016-03-10,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,4,Thursday
2016-03-11,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,5,Friday
2016-03-12,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,6,Saturday
2016-03-13,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,11,Week 11,7,Sunday
2016-03-14,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,1,Monday
2016-03-15,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,2,Tuesday
2016-03-16,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,3,Wednesday
2016-03-17,2016,1,Q1,2016 - Q1,3,Mar,Mar 2016,12,Week 12,4,Thursday
